itching,itching,scratchiness,,,,
skin_rash,skin rash,rashes on skin,welts,hives,weals,
nodal_skin_eruptions,nodal skin eruptions,eruption,localized swelling,,,
continuous_sneezing,continuous sneezing,nasal irritation,,,,
shivering,shivering,shaking,trembling,,,
chills,chills,rigors,freezing,,,
joint_pain,joint pain,Hurting joints,joint ache,,,
stomach_pain,stomach pain,stomach ache,stomach discomfort,Abdominal pain,Bowel ache,
acidity,acidity,heartburn,,,,
ulcers_on_tongue,ulcers on tongue,canker sores,sores on tongue,,,
muscle_wasting,muscle wasting,atrophy of muscles,,,,
vomiting,vomiting,emesis,,,,
burning_micturition,burning micturition,discomfort while urinating,,,,
spotting_ urination,spotting  urination,urinary spotting,,,,
fatigue,fatigue,exhaustion,lethargy,weakness,,
weight_gain,weight gain,obesity,,,,
anxiety,anxiety,uneasiness,excessive worry,,,
cold_hands_and_feets,cold hands and feets,freezing extremeties,,,,
mood_swings,mood swings,change in mood,,,,
weight_loss,weight loss,loss of appetite,,,,
restlessness,restlessness,distubed,inability to concentrate,,,
lethargy,lethargy,weakness,,,,
patches_in_throat,patches in throat,spots in throat,,,,
irregular_sugar_level,irregular sugar level,glucose imbalance,,,,
cough,cough,coughing,,,,
high_fever,high fever,high body temperature,,,,
sunken_eyes,sunken eyes,droopy eyes,,,,
breathlessness,breathlessness,short breath,,,,
sweating,sweating,perspiration,,,,
dehydration,dehydration,waterloss,dehydrated,,,
indigestion,indigestion,digestive problems,indigestion,,,
headache,headache,pain in head,,,,
yellowish_skin,yellowish skin,skin discoloration,,,,
dark_urine,dark urine,urine discoloration,,,,
nausea,nausea,felling of vomiting,sick stomach,,,
loss_of_appetite,loss of appetite,appetite loss,,,,
pain_behind_the_eyes,pain behind the eyes,pain in eye sockets,,,,
back_pain,back pain,back ache,,,,
constipation,constipation,irregular bowel,,,,
abdominal_pain,abdominal pain,stomach ache,,,,
diarrhoea,diarrhoea,watery stools,,,,
mild_fever,mild fever,high body temperature,,,,
yellow_urine,yellow urine,yellowing of urine,dark urine,,,
yellowing_of_eyes,yellowing of eyes,yellow eyes,eye discoloration,,,
acute_liver_failure,acute liver failure,failure of liver,liver problems,,,
fluid_overload,fluid overload,fluid retention,,,,
swelling_of_stomach,swelling of stomach,bloated stomach,,,,
swelled_lymph_nodes,swelled lymph nodes,bumpy lymph nodes,,,,
malaise,malaise,feebleness,,,,
blurred_and_distorted_vision,blurred and distorted vision,inability to see,astigmatism,,,
phlegm,phlegm,nasal mucous,,,,
throat_irritation,throat irritation,irritation in throat,,,,
redness_of_eyes,redness of eyes,red eyes,,,,
sinus_pressure,sinus pressure,blocked nose,,,,
runny_nose,runny nose,nasal flow,,,,
congestion,congestion,stuffed feeling,blocked,,,
chest_pain,chest pain,chest ache,,,,
weakness_in_limbs,weakness in limbs,weakness,,,,
fast_heart_rate,fast heart rate,fast heartbeats,,,,
pain_during_bowel_movements,pain during bowel movements,painful stools,,,,
pain_in_anal_region,pain in anal region,pain around rectum,,,,
bloody_stool,bloody stool,blood in stools,,,,
